"compositeSampleID","siteID","sampleID","plotID","biomassID","geneticSampleID","biome","nlcdClass","horizon","sampleBottomDepth","sampleTopDepth","litterDepth","standingWaterDepth","soilTemp","sampleTiming","domainID","decimalLatitude","decimalLongitude","proportion_fungi","proportion_bacteria","gram_positive","gram_negative","total_fungi","total_bacteria","proportion_sap_ecto_fungi","proportion_arbuscular_fungi","bacteria_fungi_total","total_biomass","db_name","Bacteria","Eukaryota","Archaea","fungi_domain_metagenome","sample_id","genus_amf_metagenome","genus_fungi_metagenome","genus_fungi_minus_amf_metagenome","phyla_fungi_metagenome","seq_depth"
NA,"BART","BART_001-M-21-20220426","BART_001","BART_001-M-21-20220426-BM",NA,"Forest","mixedForest","M",17,2.8,1.4,0,4.5,"winterSpringTransition","D01",44.047079,-71.306661,0.495339759420059,0.504660240579941,50.53,76.17,124.36,126.7,0.11288138293635,0.053931331155899,251.06,354.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_001-O-21-20220426","BART_001","BART_001-O-21-20220426-BM","BART_001-O-21-20220426-GEN","Forest","mixedForest","O",2.8,0,1.4,0,4.5,"winterSpringTransition","D01",44.047079,-71.306661,0.611735532066582,0.388264467933418,295.43,330.86,986.76,626.29,0.148712067201885,0.0474566814419888,1613.05,2053.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_001-M-41-20220426","BART_001","BART_001-M-41-20220426-BM",NA,"Forest","mixedForest","M",9.5,2.2,3.4,0,6.2,"winterSpringTransition","D01",44.047079,-71.306661,0.456947791164659,0.543052208835341,119.75,150.69,227.56,270.44,0.125100401606426,0.0659638554216868,498,668.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_001-O-41-20220426","BART_001","BART_001-O-41-20220426-BM","BART_001-O-41-20220426-GEN","Forest","mixedForest","O",2.2,0,3.4,0,6.2,"winterSpringTransition","D01",44.047079,-71.306661,0.662738733130267,0.337261266869733,203.94,251.13,894.24,455.07,0.141375962528996,0.0395313160059586,1349.31,1910.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_004-M-39-20220427","BART_004","BART_004-M-39-20220427-BM",NA,"Forest","mixedForest","M",19,2.2,4.2,0,4.8,"winterSpringTransition","D01",44.041571,-71.28692,0.447305579877418,0.552694420122582,103.6,174.14,224.78,277.74,0.173326434768765,0.0351229801798933,502.52,599.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_004-O-39-20220427","BART_004","BART_004-O-39-20220427-BM","BART_004-O-39-20220427-GEN","Forest","mixedForest","O",2.2,0,4.2,0,4.8,"winterSpringTransition","D01",44.041571,-71.28692,0.587469320970821,0.412530679029179,193.93,169.13,517.02,363.06,0.110853558767385,0.0527224797745659,880.08,1287.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_004-M-41-20220427","BART_004","BART_004-M-41-20220427-BM",NA,"Forest","mixedForest","M",20,1.9,2.3,0,4.6,"winterSpringTransition","D01",44.041571,-71.28692,0.479088396932344,0.520911603067656,75.91,91.86,154.3,167.77,0.163442729841339,0.0384077995466824,322.07,432.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_004-O-41-20220427","BART_004","BART_004-O-41-20220427-BM","BART_004-O-41-20220427-GEN","Forest","mixedForest","O",1.9,0,2.3,0,4.6,"winterSpringTransition","D01",44.041571,-71.28692,0.594190440204043,0.405809559795957,218.82,210.77,629.01,429.59,0.157840544114869,0.0276308331758927,1058.6,1320.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_004-M-23-20220427","BART_004","BART_004-M-23-20220427-BM",NA,"Forest","mixedForest","M",14,1.2,2.6,0,4.6,"winterSpringTransition","D01",44.041571,-71.28692,0.34122905027933,0.65877094972067,24.32,34.64,30.54,58.96,0.110949720670391,0.0392178770949721,89.5,129.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_004-O-23-20220427","BART_004","BART_004-O-23-20220427-BM","BART_004-O-23-20220427-GEN","Forest","mixedForest","O",1.2,0,2.6,0,4.6,"winterSpringTransition","D01",44.041571,-71.28692,0.537228372283723,0.462771627716277,285.08,279.27,655.15,564.35,0.153120131201312,0.0441328413284133,1219.5,1589.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
