taxon,trophicMode,guild,confidenceRanking,functional_group,name
Naematelia,Pathotroph,|Fungal Parasite|,Probable,NA,naematelia
Kockovaella,Saprotroph-Symbiotroph,Endophyte-|Epiphyte|-Undefined Saprotroph,Probable,Endophyte,kockovaella
Cystobasidium,Pathotroph,|Fungal Parasite|,Highly Probable,NA,cystobasidium
Mixia,Pathotroph-Saprotroph,|Plant Pathogen|-Undefined Saprotroph,Highly Probable,Pathogen,mixia
Pseudomicrostroma,Pathotroph-Symbiotroph,Epiphyte-|Plant Pathogen|,Probable,Pathogen,pseudomicrostroma
Wallemia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,wallemia
Bifiguratus,Saprotroph-Symbiotroph,Endophyte-|Undefined Saprotroph|,Probable,Endophyte,bifiguratus
Phlyctochytrium,Pathotroph-Saprotroph,|Algal Parasite|-Fungal Parasite-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph,Probable,Pathogen,phlyctochytrium
Gaertneriomyces,Pathotroph-Saprotroph,Algal Parasite-Plant Pathogen-|Pollen Saprotroph|,Probable,Pathogen,gaertneriomyces
Spizellomyces,Pathotroph-Saprotroph,Plant Pathogen-|Pollen Saprotroph|-Undefined Parasite-Undefined Saprotroph,Probable,Pathogen,spizellomyces
Paraphysoderma,Pathotroph,|Algal Parasite|-Plant Pathogen,Probable,Pathogen,paraphysoderma
Enterocytozoon,Pathotroph,|Animal Parasite|,Probable,NA,enterocytozoon
Rozella,Pathotroph-Symbiotroph,|Fungal Parasite|,Highly Probable,NA,rozella
Citeromyces,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,citeromyces
Suhomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,suhomyces
Hyphopichia,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,hyphopichia
Babjeviella,Saprotroph,|Undefined Saprotroph|,Highly Probable,Other saprotroph,babjeviella
Brettanomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,brettanomyces
Neolecta,Pathotroph-Saprotroph,|Plant Pathogen|-Undefined Saprotroph,Probable,Pathogen,neolecta
