ncbi_species_taxid	accession	ncbi_genbank_assembly_accession	ncbi_organism_name	kingdom	phylum	species	ncbi_taxonomy	source	is_published
2162083	GCA_003216915.1	GCA_003216915.1	Prochlorococcus sp. AG-402-I23	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-402-I23	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162086	GCA_003216835.1	GCA_003216835.1	Prochlorococcus sp. AG-402-K10	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-402-K10	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162098	GCA_003216415.1	GCA_003216415.1	Prochlorococcus sp. AG-402-O16	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-402-O16	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162099	GCA_003216375.1	GCA_003216375.1	Prochlorococcus sp. AG-402-O21	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-402-O21	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162102	GCA_003216275.1	GCA_003216275.1	Prochlorococcus sp. AG-402-P18	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-402-P18	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162104	GCA_003280995.1	GCA_003280995.1	Prochlorococcus sp. AG-355-A09	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-355-A09	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162108	GCA_003280915.1	GCA_003280915.1	Prochlorococcus sp. AG-355-I04	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-355-I04	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162111	GCA_003278735.1	GCA_003278735.1	Prochlorococcus sp. AG-355-J09	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-355-J09	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162128	GCA_003280655.1	GCA_003280655.1	Prochlorococcus sp. AG-355-O17	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-355-O17	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162140	GCA_003280055.1	GCA_003280055.1	Prochlorococcus sp. AG-363-P19	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-363-P19	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162146	GCA_003281405.1	GCA_003281405.1	Prochlorococcus sp. AG-347-K16	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-K16	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162152	GCA_003281605.1	GCA_003281605.1	Prochlorococcus sp. AG-347-I06	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-I06	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162154	GCA_003279105.1	GCA_003279105.1	Prochlorococcus sp. AG-347-I19	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-I19	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162155	GCA_003279055.1	GCA_003279055.1	Prochlorococcus sp. AG-347-I21	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-I21	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162158	GCA_003281505.1	GCA_003281505.1	Prochlorococcus sp. AG-347-J14	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-J14	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162159	GCA_003279015.1	GCA_003279015.1	Prochlorococcus sp. AG-347-J19	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-J19	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162160	GCA_003281485.1	GCA_003281485.1	Prochlorococcus sp. AG-347-J20	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-J20	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162161	GCA_003281455.1	GCA_003281455.1	Prochlorococcus sp. AG-347-J21	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-347-J21	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162168	GCA_003280575.1	GCA_003280575.1	Prochlorococcus sp. AG-355-P07	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-355-P07	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162171	GCA_003278525.1	GCA_003278525.1	Prochlorococcus sp. AG-355-P16	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-355-P16	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162179	GCA_003280345.1	GCA_003280345.1	Prochlorococcus sp. AG-363-A16	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-363-A16	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162186	GCA_003280295.1	GCA_003280295.1	Prochlorococcus sp. AG-363-C20	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-363-C20	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
2162191	GCA_003280225.1	GCA_003280225.1	Prochlorococcus sp. AG-363-K07	Bacteria	Cyanobacteriota	Prochlorococcus sp. AG-363-K07	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__	GTDB_207	Y
