samp_name,fungal_proportion,readdepth,db_name,n_reads,pass_filter,n_pass_filter,percent_classified_passing,metric,value,Database
fungprop_5_readdepth_1M_gtdb_207,5,1000000,gtdb_207,471789,1,460255,0.9755526305191515,percent_classified,0.943578,gtdb_207
fungprop_5_readdepth_1M_gtdb_207_unfiltered,5,1000000,gtdb_207_unfiltered,471643,1,440259,0.933458145249691,percent_passing,0.880518,GTDB r207
fungprop_5_readdepth_1M_gtdb_207_unfiltered,5,1000000,gtdb_207_unfiltered,471643,1,440259,0.933458145249691,percent_classified,0.943286,GTDB r207
fungprop_5_readdepth_1M_pluspf,5,1000000,pluspf,380852,1,294752,0.7739279300095575,percent_passing,0.589504,PlusPF
fungprop_5_readdepth_1M_pluspf,5,1000000,pluspf,380852,1,294752,0.7739279300095575,percent_classified,0.761704,PlusPF
fungprop_5_readdepth_1M_soil_microbe_db,5,1000000,soil_microbe_db,498854,1,487365,0.976969213437198,percent_passing,0.97473,SoilMicrobeDB
fungprop_5_readdepth_1M_soil_microbe_db,5,1000000,soil_microbe_db,498854,1,487365,0.976969213437198,percent_classified,0.997708,SoilMicrobeDB
fungprop_5_readdepth_5M_gtdb_207,5,5000000,gtdb_207,2358485,1,2300135,0.9752595416125182,percent_passing,0.920054,gtdb_207
fungprop_5_readdepth_5M_gtdb_207,5,5000000,gtdb_207,2358485,1,2300135,0.9752595416125182,percent_classified,0.943394,gtdb_207
fungprop_5_readdepth_5M_gtdb_207_unfiltered,5,5000000,gtdb_207_unfiltered,2357770,1,2200307,0.9332152839335474,percent_passing,0.8801228,GTDB r207
fungprop_5_readdepth_5M_gtdb_207_unfiltered,5,5000000,gtdb_207_unfiltered,2357770,1,2200307,0.9332152839335474,percent_classified,0.943108,GTDB r207
fungprop_5_readdepth_5M_pluspf,5,5000000,pluspf,1903060,1,1473202,0.774122728658056,percent_passing,0.5892808,PlusPF
fungprop_5_readdepth_5M_pluspf,5,5000000,pluspf,1903060,1,1473202,0.774122728658056,percent_classified,0.761224,PlusPF
fungprop_5_readdepth_5M_soil_microbe_db,5,5000000,soil_microbe_db,2494031,1,2436215,0.9768182512567005,percent_passing,0.974486,SoilMicrobeDB
fungprop_5_readdepth_5M_soil_microbe_db,5,5000000,soil_microbe_db,2494031,1,2436215,0.9768182512567005,percent_classified,0.9976124,SoilMicrobeDB
